Order #,Release Year,Rotten Tomatoes,Length (Minutes)
329,2011,96%,133
330,2009,83%,153
331,2016,97%,102
332,1989,,93
333,2007,91%,121
334,1990,88%,137
335,2009,,131
336,1997,86%,113
337,2011,84%,98
338,2018,,118
339,2005,,9
340,2015,98%,94
341,2018,82%,117
342,2022,,165
343,2006,71%,105
344,2003,72%,111
345,2012,64%,130
346,1985,79%,108
347,1978,,116
348,1996,84%,139
349,2001,9%,91
350,2014,86%,96
351,2006,94%,86
352,2023,90%,95
353,2016,94%,106
354,1989,,112
355,1990,54%,111
356,2013,76%,95
357,2010,94%,118
358,2001,59%,132
359,2007,90%,129
360,1979,90%,105
361,1997,99%,138
362,2004,91%,93
363,1992,82%,128
364,2014,96%,101
365,1992,60%,118
366,1997,83%,86
367,2011,83%,119
368,2016,84%,120
369,1994,92%,88
370,1998,,105
371,1989,56%,93
372,1987,75%,97
373,2022,78%,112
374,1970,86%,116
375,2014,,82
376,1974,40%,125
377,2015,91%,134
378,1998,,136
379,1996,92%,98
380,1997,,98
381,2008,93%,128
382,2004,90%,132
383,1990,91%,107
384,2025,,170
385,2015,,131
386,2023,,164
387,2001,96%,92
388,2013,80%,95
389,1979,59%,126
390,1939,85%,129
391,1993,70%,125
392,2013,,131
393,1992,85%,120
394,2006,85%,122
395,1983,94%,98
396,2014,72%,97
397,1991,81%,101
398,2007,93%,122
399,2020,93%,108
400,2005,70%,126
401,2007,70%,122
402,2018,72%,120
403,1975,93%,133
404,2020,88%,103
405,1989,92%,124
406,2012,85%,103
407,1991,69%,122
408,2021,94%,128
409,1997,54%,106
410,1990,65%,119
411,1987,96%,98
412,1996,77%,129
413,1981,,108
414,2002,79%,95
415,2008,63%,106
416,1980,92%,129
417,2024,96%,89
418,1988,88%,133
419,2022,93%,97
420,2004,79%,152
421,2015,78%,156
422,1990,92%,109
423,1983,93%,99
424,2002,82%,117
425,1973,58%,83
426,1982,65%,99
427,2018,96%,135
428,2001,81%,110
429,1987,65%,101
430,2012,91%,86
431,1977,82%,118
432,1983,79%,170
433,1992,60%,107
434,2011,,90
435,1993,98%,109
436,2011,,104
437,1995,97%,137
438,1998,92%,123
439,1988,,109
440,2017,69%,121
441,2001,88%,90
442,1995,89%,115
443,1991,24%,99
444,2015,63%,150
445,2017,92%,133
446,2015,94%,117
447,2005,91%,81
448,2020,,155
449,1987,89%,117
450,2015,89%,147
451,2004,,100
452,1978,88%,143
453,2007,,117
454,1999,85%,139
455,2008,60%,91
